zip,type,primary_city,latitude,longitude,irs_estimated_population_2014
75668,STANDARD,Lone Star,32.93,-94.7,1610
75669,STANDARD,Long Branch,32.04,-94.5,520
75670,STANDARD,Marshall,32.53,-94.35,14840
75671,PO BOX,Marshall,32.53,-94.35,1944
75672,STANDARD,Marshall,32.47,-94.3,14340
75680,PO BOX,Minden,32.04,-94.76,115
75681,STANDARD,Mount Enterprise,31.91,-94.68,2260
75682,PO BOX,New London,32.26,-94.93,682
75683,STANDARD,Ore City,32.8,-94.71,3210
75684,STANDARD,Overton,32.27,-94.97,5210
75685,PO BOX,Panola,32.35,-94.09,313
75686,STANDARD,Pittsburg,32.99,-94.96,11670
75687,PO BOX,Price,32.08,-94.94,261
75688,PO BOX,Scottsville,32.53,-94.24,429
75689,PO BOX,Selman City,32.18,-94.95,225
75691,STANDARD,Tatum,32.31,-94.55,4190
75692,STANDARD,Waskom,32.47,-94.06,4580
75693,STANDARD,White Oak,32.53,-94.85,6310
75694,PO BOX,Woodlawn,32.66,-94.34,378
75701,STANDARD,Tyler,32.32,-95.3,27760
75702,STANDARD,Tyler,32.36,-95.32,23520
75703,STANDARD,Tyler,32.24,-95.32,35990
75704,STANDARD,Tyler,32.41,-95.44,7940
75705,STANDARD,Tyler,32.36,-95.09,1900
75706,STANDARD,Tyler,32.47,-95.31,8270
75707,STANDARD,Tyler,32.3,-95.18,13280
75708,STANDARD,Tyler,32.42,-95.21,6860
75709,STANDARD,Tyler,32.3,-95.39,4690
75710,PO BOX,Tyler,32.32,-95.3,741
75711,PO BOX,Tyler,32.32,-95.3,2017
75712,PO BOX,Tyler,32.32,-95.3,875
75713,PO BOX,Tyler,32.32,-95.3,1551
75750,STANDARD,Arp,32.22,-95.05,3440
75751,STANDARD,Athens,32.2,-95.85,14690
75752,STANDARD,Athens,32.24,-95.81,5600
75754,STANDARD,Ben Wheeler,32.41,-95.66,5000
75755,STANDARD,Big Sandy,32.58,-95.11,4550
75756,STANDARD,Brownsboro,32.29,-95.61,3640
75757,STANDARD,Bullard,32.14,-95.31,10570
75758,STANDARD,Chandler,32.3,-95.47,8290
75759,PO BOX,Cuney,32.03,-95.41,125
75760,STANDARD,Cushing,31.81,-94.84,2080
75762,STANDARD,Flint,32.2,-95.39,12440
75763,STANDARD,Frankston,32.05,-95.5,4830
75764,PO BOX,Gallatin,31.9,-95.14,269
75765,STANDARD,Hawkins,32.59,-95.2,5950
75766,STANDARD,Jacksonville,31.96,-95.26,23770
75770,STANDARD,Larue,32.14,-95.64,2230
75771,STANDARD,Lindale,32.5,-95.4,18080
75772,PO BOX,Maydelle,31.85,-95.32,162
75773,STANDARD,Mineola,32.66,-95.48,10660
75778,STANDARD,Murchison,32.27,-95.75,2650
75779,PO BOX,Neches,31.86,-95.48,484
75780,PO BOX,New Summerfield,31.99,-95.09,1053
75782,PO BOX,Poynor,32.07,-95.59,357
75783,STANDARD,Quitman,32.79,-95.44,6200
75784,STANDARD,Reklaw,31.86,-94.98,580
75785,STANDARD,Rusk,31.79,-95.14,7940
75788,PO BOX,Sacul,31.83,-94.93,111
75789,STANDARD,Troup,32.14,-95.12,6740
75790,STANDARD,Van,32.52,-95.63,4370
75791,STANDARD,Whitehouse,32.22,-95.21,12370
75792,STANDARD,Winona,32.49,-95.17,2930
75797,UNIQUE,Big Sandy,32.58,-95.11,0
75798,UNIQUE,Tyler,32.32,-95.3,0
75799,UNIQUE,Tyler,32.32,-95.3,0
75801,STANDARD,Palestine,31.75,-95.64,13990
75802,PO BOX,Palestine,31.75,-95.64,1830
75803,STANDARD,Palestine,31.88,-95.68,12940
75831,STANDARD,Buffalo,31.46,-96.06,4760
75832,PO BOX,Cayuga,31.95,-95.97,199
75833,STANDARD,Centerville,31.25,-95.97,2990
75834,STANDARD,Centralia,31.26,-94.97,0
75835,STANDARD,Crockett,31.31,-95.45,9050
75838,STANDARD,Donie,31.47,-96.24,510
75839,STANDARD,Elkhart,31.62,-95.57,4460
75840,STANDARD,Fairfield,31.71,-96.16,7010
75844,STANDARD,Grapeland,31.49,-95.48,4290
75845,STANDARD,Groveton,31.05,-95.12,2200
75846,STANDARD,Jewett,31.36,-96.14,2310
75847,STANDARD,Kennard,31.35,-95.18,1220
75848,PO BOX,Kirvin,31.77,-96.33,138
75849,PO BOX,Latexo,31.42,-95.48,417
75850,STANDARD,Leona,31.15,-95.97,370
75851,STANDARD,Lovelady,31.12,-95.44,2080
75852,STANDARD,Midway,31.02,-95.75,1440
75853,STANDARD,Montalba,31.93,-95.76,850
75855,STANDARD,Oakwood,31.58,-95.84,1960
75856,STANDARD,Pennington,31.19,-95.26,230
75858,PO BOX,Ratcliff,31.39,-95.13,216
75859,STANDARD,Streetman,31.87,-96.32,1590
75860,STANDARD,Teague,31.63,-96.28,5040
75861,STANDARD,Tennessee Colony,31.88,-95.91,1470
75862,STANDARD,Trinity,30.94,-95.37,7810
75865,PO BOX,Woodlake,30.99,-95.03,142
75880,UNIQUE,Tennessee Colony,31.88,-95.91,18
75882,UNIQUE,Palestine,31.75,-95.64,11
75884,UNIQUE,Tennessee Colony,31.88,-95.91,40
75886,UNIQUE,Tennessee Colony,31.88,-95.91,47
75901,STANDARD,Lufkin,31.33,-94.72,24930
75902,PO BOX,Lufkin,31.33,-94.72,1249
75903,PO BOX,Lufkin,31.33,-94.72,538
75904,STANDARD,Lufkin,31.34,-94.83,29740
75915,PO BOX,Lufkin,31.33,-94.72,1812
75925,STANDARD,Alto,31.65,-95.07,3160
75926,STANDARD,Apple Springs,31.26,-94.97,900
75928,STANDARD,Bon Wier,30.68,-93.75,1040
75929,STANDARD,Broaddus,31.3,-94.26,1140
75930,STANDARD,Bronson,31.34,-94,1370
75931,STANDARD,Brookeland,31.09,-93.97,1910
75932,STANDARD,Burkeville,30.99,-93.66,1110
75933,STANDARD,Call,30.61,-93.87,1360
75934,PO BOX,Camden,30.89,-94.76,239
75935,STANDARD,Center,31.79,-94.17,12910
75936,STANDARD,Chester,30.92,-94.6,710
75937,STANDARD,Chireno,31.49,-94.34,970
75938,STANDARD,Colmesneil,30.9,-94.42,2120
